
Smileys & Emotion
№ ,Code ,Browser,Appl ,Goog ,FB ,Wind ,Twtr ,Joy ,Sams ,GMail ,SB ,DCM ,KDDI ,CLDR Short Name
468 ,U+1F469 U+200D U+1F469 U+200D U+1F466 U+200D U+1F466 ,👩‍👩‍👦‍👦 ,👩‍👩‍👦‍👦 ,👩‍👩‍👦‍👦 ,👩‍👩‍👦‍👦 ,👩‍👩‍👦‍👦 ,👩‍👩‍👦‍👦 ,👩‍👩‍👦‍👦 ,👩‍👩‍👦‍👦 ,— ,— ,— ,— ,family: woman, woman, boy, boy
469 ,U+1F469 U+200D U+1F469 U+200D U+1F467 U+200D U+1F467 ,👩‍👩‍👧‍👧 ,👩‍👩‍👧‍👧 ,👩‍👩‍👧‍👧 ,👩‍👩‍👧‍👧 ,👩‍👩‍👧‍👧 ,👩‍👩‍👧‍👧 ,👩‍👩‍👧‍👧 ,👩‍👩‍👧‍👧 ,— ,— ,— ,— ,family: woman, woman, girl, girl
470 ,U+1F468 U+200D U+1F466 ,👨‍👦 ,👨‍👦 ,👨‍👦 ,👨‍👦 ,👨‍👦 ,👨‍👦 ,👨‍👦 ,👨‍👦 ,— ,— ,— ,— ,family: man, boy
471 ,U+1F468 U+200D U+1F466 U+200D U+1F466 ,👨‍👦‍👦 ,👨‍👦‍👦 ,👨‍👦‍👦 ,👨‍👦‍👦 ,👨‍👦‍👦 ,👨‍👦‍👦 ,👨‍👦‍👦 ,👨‍👦‍👦 ,— ,— ,— ,— ,family: man, boy, boy
472 ,U+1F468 U+200D U+1F467 ,👨‍👧 ,👨‍👧 ,👨‍👧 ,👨‍👧 ,👨‍👧 ,👨‍👧 ,👨‍👧 ,👨‍👧 ,— ,— ,— ,— ,family: man, girl
473 ,U+1F468 U+200D U+1F467 U+200D U+1F466 ,👨‍👧‍👦 ,👨‍👧‍👦 ,👨‍👧‍👦 ,👨‍👧‍👦 ,👨‍👧‍👦 ,👨‍👧‍👦 ,👨‍👧‍👦 ,👨‍👧‍👦 ,— ,— ,— ,— ,family: man, girl, boy
474 ,U+1F468 U+200D U+1F467 U+200D U+1F467 ,👨‍👧‍👧 ,👨‍👧‍👧 ,👨‍👧‍👧 ,👨‍👧‍👧 ,👨‍👧‍👧 ,👨‍👧‍👧 ,👨‍👧‍👧 ,👨‍👧‍👧 ,— ,— ,— ,— ,family: man, girl, girl
475 ,U+1F469 U+200D U+1F466 ,👩‍👦 ,👩‍👦 ,👩‍👦 ,👩‍👦 ,👩‍👦 ,👩‍👦 ,👩‍👦 ,👩‍👦 ,— ,— ,— ,— ,family: woman, boy
476 ,U+1F469 U+200D U+1F466 U+200D U+1F466 ,👩‍👦‍👦 ,👩‍👦‍👦 ,👩‍👦‍👦 ,👩‍👦‍👦 ,👩‍👦‍👦 ,👩‍👦‍👦 ,👩‍👦‍👦 ,👩‍👦‍👦 ,— ,— ,— ,— ,family: woman, boy, boy
477 ,U+1F469 U+200D U+1F467 ,👩‍👧 ,👩‍👧 ,👩‍👧 ,👩‍👧 ,👩‍👧 ,👩‍👧 ,👩‍👧 ,👩‍👧 ,— ,— ,— ,— ,family: woman, girl
478 ,U+1F469 U+200D U+1F467 U+200D U+1F466 ,👩‍👧‍👦 ,👩‍👧‍👦 ,👩‍👧‍👦 ,👩‍👧‍👦 ,👩‍👧‍👦 ,👩‍👧‍👦 ,👩‍👧‍👦 ,👩‍👧‍👦 ,— ,— ,— ,— ,family: woman, girl, boy
479 ,U+1F469 U+200D U+1F467 U+200D U+1F467 ,👩‍👧‍👧 ,👩‍👧‍👧 ,👩‍👧‍👧 ,👩‍👧‍👧 ,👩‍👧‍👧 ,👩‍👧‍👧 ,👩‍👧‍👧 ,👩‍👧‍👧 ,— ,— ,— ,— ,family: woman, girl, girl
person-symbol
№ ,Code ,Browser,Appl ,Goog ,FB ,Wind ,Twtr ,Joy ,Sams ,GMail ,SB ,DCM ,KDDI ,CLDR Short Name
480 ,U+1F5E3 ,🗣 ,🗣 ,🗣 ,🗣 ,🗣 ,🗣 ,🗣 ,🗣 ,— ,— ,— ,— ,speaking head
481 ,U+1F464 ,👤 ,👤 ,👤 ,👤 ,👤 ,👤 ,👤 ,👤 ,👤 ,— ,👤 ,— ,bust in silhouette
482 ,U+1F465 ,👥 ,👥 ,👥 ,👥 ,👥 ,👥 ,👥 ,👥 ,— ,— ,— ,— ,busts in silhouette
483 ,U+1F463 ,👣 ,👣 ,👣 ,👣 ,👣 ,👣 ,👣 ,👣 ,👣 ,👣 ,👣 ,👣 ,footprints
Component
hair-style
№ ,Code ,Browser,Appl ,Goog ,FB ,Wind ,Twtr ,Joy ,Sams ,GMail ,SB ,DCM ,KDDI ,CLDR Short Name
484 ,U+1F9B0 ,🦰 ,🦰 ,🦰 ,🦰 ,🦰 ,🦰 ,🦰 ,🦰 ,— ,— ,— ,— ,red hair
485 ,U+1F9B1 ,🦱 ,🦱 ,🦱 ,🦱 ,🦱 ,🦱 ,🦱 ,🦱 ,— ,— ,— ,— ,curly hair
486 ,U+1F9B3 ,🦳 ,🦳 ,🦳 ,🦳 ,🦳 ,🦳 ,🦳 ,🦳 ,— ,— ,— ,— ,white hair
487 ,U+1F9B2 ,🦲 ,🦲 ,🦲 ,🦲 ,🦲 ,🦲 ,🦲 ,🦲 ,— ,— ,— ,— ,bald
Animals & Nature
animal-mammal
№ ,Code ,Browser,Appl ,Goog ,FB ,Wind ,Twtr ,Joy ,Sams ,GMail ,SB ,DCM ,KDDI ,CLDR Short Name
488 ,U+1F435 ,🐵 ,🐵 ,🐵 ,🐵 ,🐵 ,🐵 ,🐵 ,🐵 ,🐵 ,🐵 ,— ,🐵 ,monkey face
489 ,U+1F412 ,🐒 ,🐒 ,🐒 ,🐒 ,🐒 ,🐒 ,🐒 ,🐒 ,🐒 ,🐒 ,— ,— ,monkey
490 ,U+1F98D ,🦍 ,🦍 ,🦍 ,🦍 ,🦍 ,🦍 ,🦍 ,🦍 ,— ,— ,— ,— ,gorilla
491 ,U+1F9A7 ,🦧 ,🦧 ,🦧 ,🦧 ,🦧 ,🦧 ,🦧 ,🦧 ,— ,— ,— ,— ,orangutan
492 ,U+1F436 ,🐶 ,🐶 ,🐶 ,🐶 ,🐶 ,🐶 ,🐶 ,🐶 ,🐶 ,🐶 ,🐶 ,🐶 ,dog face
493 ,U+1F415 ,🐕 ,🐕 ,🐕 ,🐕 ,🐕 ,🐕 ,🐕 ,🐕 ,— ,— ,— ,— ,dog
494 ,U+1F9AE ,🦮 ,🦮 ,🦮 ,🦮 ,🦮 ,🦮 ,🦮 ,🦮 ,— ,— ,— ,— ,guide dog
495 ,U+1F415 U+200D U+1F9BA ,🐕‍🦺 ,🐕‍🦺 ,🐕‍🦺 ,🐕‍🦺 ,🐕‍🦺 ,🐕‍🦺 ,🐕‍🦺 ,🐕‍🦺 ,— ,— ,— ,— ,service dog
496 ,U+1F429 ,🐩 ,🐩 ,🐩 ,🐩 ,🐩 ,🐩 ,🐩 ,🐩 ,🐩 ,— ,— ,🐩 ,poodle
497 ,U+1F43A ,🐺 ,🐺 ,🐺 ,🐺 ,🐺 ,🐺 ,🐺 ,🐺 ,🐺 ,🐺 ,— ,— ,wolf
498 ,U+1F98A ,🦊 ,🦊 ,🦊 ,🦊 ,🦊 ,🦊 ,🦊 ,🦊 ,— ,— ,— ,— ,fox
499 ,U+1F99D ,🦝 ,🦝 ,🦝 ,🦝 ,🦝 ,🦝 ,🦝 ,🦝 ,— ,— ,— ,— ,raccoon
500 ,U+1F431 ,🐱 ,🐱 ,🐱 ,🐱 ,🐱 ,🐱 ,🐱 ,🐱 ,🐱 ,🐱 ,🐱 ,🐱 ,cat face
501 ,U+1F408 ,🐈 ,🐈 ,🐈 ,🐈 ,🐈 ,🐈 ,🐈 ,🐈 ,— ,— ,— ,— ,cat
502 ,U+1F981 ,🦁 ,🦁 ,🦁 ,🦁 ,🦁 ,🦁 ,🦁 ,🦁 ,— ,— ,— ,— ,lion
503 ,U+1F42F ,🐯 ,🐯 ,🐯 ,🐯 ,🐯 ,🐯 ,🐯 ,🐯 ,🐯 ,🐯 ,— ,🐯 ,tiger face
504 ,U+1F405 ,🐅 ,🐅 ,🐅 ,🐅 ,🐅 ,🐅 ,🐅 ,🐅 ,— ,— ,— ,— ,tiger
505 ,U+1F406 ,🐆 ,🐆 ,🐆 ,🐆 ,🐆 ,🐆 ,🐆 ,🐆 ,— ,— ,— ,— ,leopard
506 ,U+1F434 ,🐴 ,🐴 ,🐴 ,🐴 ,🐴 ,🐴 ,🐴 ,🐴 ,🐴 ,🐴 ,🐴 ,🐴 ,horse face
507 ,U+1F40E ,🐎 ,🐎 ,🐎 ,🐎 ,🐎 ,🐎 ,🐎 ,🐎 ,🐎 ,🐎 ,— ,— ,horse
№ ,Code ,Browser,Appl ,Goog ,FB ,Wind ,Twtr ,Joy ,Sams ,GMail ,SB ,DCM ,KDDI ,CLDR Short Name
508 ,U+1F984 ,🦄 ,🦄 ,🦄 ,🦄 ,🦄 ,🦄 ,🦄 ,🦄 ,— ,— ,— ,— ,unicorn
509 ,U+1F993 ,🦓 ,🦓 ,🦓 ,🦓 ,🦓 ,🦓 ,🦓 ,🦓 ,— ,— ,— ,— ,zebra
510 ,U+1F98C ,🦌 ,🦌 ,🦌 ,🦌 ,🦌 ,🦌 ,🦌 ,🦌 ,— ,— ,— ,— ,deer
511 ,U+1F42E ,🐮 ,🐮 ,🐮 ,🐮 ,🐮 ,🐮 ,🐮 ,🐮 ,🐮 ,🐮 ,— ,🐮 ,cow face
512 ,U+1F402 ,🐂 ,🐂 ,🐂 ,🐂 ,🐂 ,🐂 ,🐂 ,🐂 ,— ,— ,— ,— ,ox
513 ,U+1F403 ,🐃 ,🐃 ,🐃 ,🐃 ,🐃 ,🐃 ,🐃 ,🐃 ,— ,— ,— ,— ,water buffalo
514 ,U+1F404 ,🐄 ,🐄 ,🐄 ,🐄 ,🐄 ,🐄 ,🐄 ,🐄 ,— ,— ,— ,— ,cow
515 ,U+1F437 ,🐷 ,🐷 ,🐷 ,🐷 ,🐷 ,🐷 ,🐷 ,🐷 ,🐷 ,🐷 ,🐷 ,🐷 ,pig face
516 ,U+1F416 ,🐖 ,🐖 ,🐖 ,🐖 ,🐖 ,🐖 ,🐖 ,🐖 ,— ,— ,— ,— ,pig
517 ,U+1F417 ,🐗 ,🐗 ,🐗 ,🐗 ,🐗 ,🐗 ,🐗 ,🐗 ,🐗 ,🐗 ,— ,🐗 ,boar
518 ,U+1F43D ,🐽 ,🐽 ,🐽 ,🐽 ,🐽 ,🐽 ,🐽 ,🐽 ,🐽 ,— ,— ,🐽 ,pig nose
519 ,U+1F40F ,🐏 ,🐏 ,🐏 ,🐏 ,🐏 ,🐏 ,🐏 ,🐏 ,— ,— ,— ,— ,ram
520 ,U+1F411 ,🐑 ,🐑 ,🐑 ,🐑 ,🐑 ,🐑 ,🐑 ,🐑 ,🐑 ,🐑 ,— ,— ,ewe
521 ,U+1F410 ,🐐 ,🐐 ,🐐 ,🐐 ,🐐 ,🐐 ,🐐 ,🐐 ,— ,— ,— ,— ,goat
522 ,U+1F42A ,🐪 ,🐪 ,🐪 ,🐪 ,🐪 ,🐪 ,🐪 ,🐪 ,— ,— ,— ,— ,camel
523 ,U+1F42B ,🐫 ,🐫 ,🐫 ,🐫 ,🐫 ,🐫 ,🐫 ,🐫 ,🐫 ,🐫 ,— ,🐫 ,two-hump camel
524 ,U+1F999 ,🦙 ,🦙 ,🦙 ,🦙 ,🦙 ,🦙 ,🦙 ,🦙 ,— ,— ,— ,— ,llama
525 ,U+1F992 ,🦒 ,🦒 ,🦒 ,🦒 ,🦒 ,🦒 ,🦒 ,🦒 ,— ,— ,— ,— ,giraffe
526 ,U+1F418 ,🐘 ,🐘 ,🐘 ,🐘 ,🐘 ,🐘 ,🐘 ,🐘 ,🐘 ,🐘 ,— ,🐘 ,elephant
527 ,U+1F98F ,🦏 ,🦏 ,🦏 ,🦏 ,🦏 ,🦏 ,🦏 ,🦏 ,— ,— ,— ,— ,rhinoceros
№ ,Code ,Browser,Appl ,Goog ,FB ,Wind ,Twtr ,Joy ,Sams ,GMail ,SB ,DCM ,KDDI ,CLDR Short Name
528 ,U+1F99B ,🦛 ,🦛 ,🦛 ,🦛 ,🦛 ,🦛 ,🦛 ,🦛 ,— ,— ,— ,— ,hippopotamus
529 ,U+1F42D ,🐭 ,🐭 ,🐭 ,🐭 ,🐭 ,🐭 ,🐭 ,🐭 ,🐭 ,🐭 ,— ,🐭 ,mouse face
530 ,U+1F401 ,🐁 ,🐁 ,🐁 ,🐁 ,🐁 ,🐁 ,🐁 ,🐁 ,— ,— ,— ,— ,mouse
531 ,U+1F400 ,🐀 ,🐀 ,🐀 ,🐀 ,🐀 ,🐀 ,🐀 ,🐀 ,— ,— ,— ,— ,rat
532 ,U+1F439 ,🐹 ,🐹 ,🐹 ,🐹 ,🐹 ,🐹 ,🐹 ,🐹 ,🐹 ,🐹 ,— ,— ,hamster
533 ,U+1F430 ,🐰 ,🐰 ,🐰 ,🐰 ,🐰 ,🐰 ,🐰 ,🐰 ,🐰 ,🐰 ,— ,🐰 ,rabbit face
534 ,U+1F407 ,🐇 ,🐇 ,🐇 ,🐇 ,🐇 ,🐇 ,🐇 ,🐇 ,— ,— ,— ,— ,rabbit
535 ,U+1F43F ,🐿 ,🐿 ,🐿 ,🐿 ,🐿 ,🐿 ,🐿 ,🐿 ,— ,— ,— ,— ,chipmunk
536 ,U+1F994 ,🦔 ,🦔 ,🦔 ,🦔 ,🦔 ,🦔 ,🦔 ,🦔 ,— ,— ,— ,— ,hedgehog
537 ,U+1F987 ,🦇 ,🦇 ,🦇 ,🦇 ,🦇 ,🦇 ,🦇 ,🦇 ,— ,— ,— ,— ,bat
538 ,U+1F43B ,🐻 ,🐻 ,🐻 ,🐻 ,🐻 ,🐻 ,🐻 ,🐻 ,🐻 ,🐻 ,— ,🐻 ,bear
539 ,U+1F428 ,🐨 ,🐨 ,🐨 ,🐨 ,🐨 ,🐨 ,🐨 ,🐨 ,🐨 ,🐨 ,— ,🐨 ,koala
540 ,U+1F43C ,🐼 ,🐼 ,🐼 ,🐼 ,🐼 ,🐼 ,🐼 ,🐼 ,🐼 ,— ,— ,🐼 ,panda
541 ,U+1F9A5 ,🦥 ,🦥 ,🦥 ,🦥 ,🦥 ,🦥 ,🦥 ,🦥 ,— ,— ,— ,— ,sloth
542 ,U+1F9A6 ,🦦 ,🦦 ,🦦 ,🦦 ,🦦 ,🦦 ,🦦 ,🦦 ,— ,— ,— ,— ,otter
543 ,U+1F9A8 ,🦨 ,🦨 ,🦨 ,🦨 ,🦨 ,🦨 ,🦨 ,🦨 ,— ,— ,— ,— ,skunk
544 ,U+1F998 ,🦘 ,🦘 ,🦘 ,🦘 ,🦘 ,🦘 ,🦘 ,🦘 ,— ,— ,— ,— ,kangaroo
545 ,U+1F9A1 ,🦡 ,🦡 ,🦡 ,🦡 ,🦡 ,🦡 ,🦡 ,🦡 ,— ,— ,— ,— ,badger
546 ,U+1F43E ,🐾 ,🐾 ,🐾 ,🐾 ,🐾 ,🐾 ,🐾 ,🐾 ,🐾 ,— ,— ,🐾 ,paw prints
animal-bird
№ ,Code ,Browser,Appl ,Goog ,FB ,Wind ,Twtr ,Joy ,Sams ,GMail ,SB ,DCM ,KDDI ,CLDR Short Name
547 ,U+1F983 ,🦃 ,🦃 ,🦃 ,🦃 ,🦃 ,🦃 ,🦃 ,🦃 ,— ,— ,— ,— ,turkey
548 ,U+1F414 ,🐔 ,🐔 ,🐔 ,🐔 ,🐔 ,🐔 ,🐔 ,🐔 ,🐔 ,🐔 ,— ,🐔 ,chicken
549 ,U+1F413 ,🐓 ,🐓 ,🐓 ,🐓 ,🐓 ,🐓 ,🐓 ,🐓 ,— ,— ,— ,— ,rooster
550 ,U+1F423 ,🐣 ,🐣 ,🐣 ,🐣 ,🐣 ,🐣 ,🐣 ,🐣 ,🐣 ,— ,— ,🐣 ,hatching chick
551 ,U+1F424 ,🐤 ,🐤 ,🐤 ,🐤 ,🐤 ,🐤 ,🐤 ,🐤 ,🐤 ,🐤 ,🐤 ,🐤 ,baby chick
552 ,U+1F425 ,🐥 ,🐥 ,🐥 ,🐥 ,🐥 ,🐥 ,🐥 ,🐥 ,🐥 ,— ,— ,🐥 ,front-facing baby chick
553 ,U+1F426 ,🐦 ,🐦 ,🐦 ,🐦 ,🐦 ,🐦 ,🐦 ,🐦 ,🐦 ,🐦 ,— ,— ,bird
554 ,U+1F427 ,🐧 ,🐧 ,🐧 ,🐧 ,🐧 ,🐧 ,🐧 ,🐧 ,🐧 ,🐧 ,🐧 ,🐧 ,penguin
555 ,U+1F54A ,🕊 ,🕊 ,🕊 ,🕊 ,🕊 ,🕊 ,🕊 ,🕊 ,— ,— ,— ,— ,dove
556 ,U+1F985 ,🦅 ,🦅 ,🦅 ,🦅 ,🦅 ,🦅 ,🦅 ,🦅 ,— ,— ,— ,— ,eagle
557 ,U+1F986 ,🦆 ,🦆 ,🦆 ,🦆 ,🦆 ,🦆 ,🦆 ,🦆 ,— ,— ,— ,— ,duck
558 ,U+1F9A2 ,🦢 ,🦢 ,🦢 ,🦢 ,🦢 ,🦢 ,🦢 ,🦢 ,— ,— ,— ,— ,swan
559 ,U+1F989 ,🦉 ,🦉 ,🦉 ,🦉 ,🦉 ,🦉 ,🦉 ,🦉 ,— ,— ,— ,— ,owl
560 ,U+1F9A9 ,🦩 ,🦩 ,🦩 ,🦩 ,🦩 ,🦩 ,🦩 ,🦩 ,— ,— ,— ,— ,flamingo
561 ,U+1F99A ,🦚 ,🦚 ,🦚 ,🦚 ,🦚 ,🦚 ,🦚 ,🦚 ,— ,— ,— ,— ,peacock
562 ,U+1F99C ,🦜 ,🦜 ,🦜 ,🦜 ,🦜 ,🦜 ,🦜 ,🦜 ,— ,— ,— ,— ,parrot
animal-amphibian
№ ,Code ,Browser,Appl ,Goog ,FB ,Wind ,Twtr ,Joy ,Sams ,GMail ,SB ,DCM ,KDDI ,CLDR Short Name
563 ,U+1F438 ,🐸 ,🐸 ,🐸 ,🐸 ,🐸 ,🐸 ,🐸 ,🐸 ,🐸 ,🐸 ,— ,🐸 ,frog
animal-reptile
№ ,Code ,Browser,Appl ,Goog ,FB ,Wind ,Twtr ,Joy ,Sams ,GMail ,SB ,DCM ,KDDI ,CLDR Short Name
564 ,U+1F40A ,🐊 ,🐊 ,🐊 ,🐊 ,🐊 ,🐊 ,🐊 ,🐊 ,— ,— ,— ,— ,crocodile
565 ,U+1F422 ,🐢 ,🐢 ,🐢 ,🐢 ,🐢 ,🐢 ,🐢 ,🐢 ,🐢 ,— ,— ,🐢 ,turtle
566 ,U+1F98E ,🦎 ,🦎 ,🦎 ,🦎 ,🦎 ,🦎 ,🦎 ,🦎 ,— ,— ,— ,— ,lizard
567 ,U+1F40D ,🐍 ,🐍 ,🐍 ,🐍 ,🐍 ,🐍 ,🐍 ,🐍 ,🐍 ,🐍 ,— ,🐍 ,snake
568 ,U+1F432 ,🐲 ,🐲 ,🐲 ,🐲 ,🐲 ,🐲 ,🐲 ,🐲 ,🐲 ,— ,— ,🐲 ,dragon face
569 ,U+1F409 ,🐉 ,🐉 ,🐉 ,🐉 ,🐉 ,🐉 ,🐉 ,🐉 ,— ,— ,— ,— ,dragon
570 ,U+1F995 ,🦕 ,🦕 ,🦕 ,🦕 ,🦕 ,🦕 ,🦕 ,🦕 ,— ,— ,— ,— ,sauropod
571 ,U+1F996 ,🦖 ,🦖 ,🦖 ,🦖 ,🦖 ,🦖 ,🦖 ,🦖 ,— ,— ,— ,— ,T-Rex
animal-marine
№ ,Code ,Browser,Appl ,Goog ,FB ,Wind ,Twtr ,Joy ,Sams ,GMail ,SB ,DCM ,KDDI ,CLDR Short Name
572 ,U+1F433 ,🐳 ,🐳 ,🐳 ,🐳 ,🐳 ,🐳 ,🐳 ,🐳 ,🐳 ,🐳 ,— ,🐳 ,spouting whale
573 ,U+1F40B ,🐋 ,🐋 ,🐋 ,🐋 ,🐋 ,🐋 ,🐋 ,🐋 ,— ,— ,— ,— ,whale
574 ,U+1F42C ,🐬 ,🐬 ,🐬 ,🐬 ,🐬 ,🐬 ,🐬 ,🐬 ,🐬 ,🐬 ,— ,🐬 ,dolphin
575 ,U+1F41F ,🐟 ,🐟 ,🐟 ,🐟 ,🐟 ,🐟 ,🐟 ,🐟 ,🐟 ,🐟 ,🐟 ,— ,fish
576 ,U+1F420 ,🐠 ,🐠 ,🐠 ,🐠 ,🐠 ,🐠 ,🐠 ,🐠 ,🐠 ,🐠 ,— ,🐠 ,tropical fish
577 ,U+1F421 ,🐡 ,🐡 ,🐡 ,🐡 ,🐡 ,🐡 ,🐡 ,🐡 ,🐡 ,— ,— ,🐡 ,blowfish
578 ,U+1F988 ,🦈 ,🦈 ,🦈 ,🦈 ,🦈 ,🦈 ,🦈 ,🦈 ,— ,— ,— ,— ,shark
579 ,U+1F419 ,🐙 ,🐙 ,🐙 ,🐙 ,🐙 ,🐙 ,🐙 ,🐙 ,🐙 ,🐙 ,— ,🐙 ,octopus
580 ,U+1F41A ,🐚 ,🐚 ,🐚 ,🐚 ,🐚 ,🐚 ,🐚 ,🐚 ,🐚 ,🐚 ,— ,🐚 ,spiral shell
animal-bug
№ ,Code ,Browser,Appl ,Goog ,FB ,Wind ,Twtr ,Joy ,Sams ,GMail ,SB ,DCM ,KDDI ,CLDR Short Name
581 ,U+1F40C ,🐌 ,🐌 ,🐌 ,🐌 ,🐌 ,🐌 ,🐌 ,🐌 ,🐌 ,— ,🐌 ,🐌 ,snail
582 ,U+1F98B ,🦋 ,🦋 ,🦋 ,🦋 ,🦋 ,🦋 ,🦋 ,🦋 ,— ,— ,— ,— ,butterfly
583 ,U+1F41B ,🐛 ,🐛 ,🐛 ,🐛 ,🐛 ,🐛 ,🐛 ,🐛 ,🐛 ,🐛 ,— ,🐛 ,bug
584 ,U+1F41C ,🐜 ,🐜 ,🐜 ,🐜 ,🐜 ,🐜 ,🐜 ,🐜 ,🐜 ,— ,— ,🐜 ,ant
585 ,U+1F41D ,🐝 ,🐝 ,🐝 ,🐝 ,🐝 ,🐝 ,🐝 ,🐝 ,🐝 ,— ,— ,🐝 ,honeybee
586 ,U+1F41E ,🐞 ,🐞 ,🐞 ,🐞 ,🐞 ,🐞 ,🐞 ,🐞 ,🐞 ,— ,— ,🐞 ,lady beetle
587 ,U+1F997 ,🦗 ,🦗 ,🦗 ,🦗 ,🦗 ,🦗 ,🦗 ,🦗 ,— ,— ,— ,— ,cricket
588 ,U+1F577 ,🕷 ,🕷 ,🕷 ,🕷 ,🕷 ,🕷 ,🕷 ,🕷 ,— ,— ,— ,— ,spider
589 ,U+1F578 ,🕸 ,🕸 ,🕸 ,🕸 ,🕸 ,🕸 ,🕸 ,🕸 ,— ,— ,— ,— ,spider web
590 ,U+1F982 ,🦂 ,🦂 ,🦂 ,🦂 ,🦂 ,🦂 ,🦂 ,🦂 ,— ,— ,— ,— ,scorpion
591 ,U+1F99F ,🦟 ,🦟 ,🦟 ,🦟 ,🦟 ,🦟 ,🦟 ,🦟 ,— ,— ,— ,— ,mosquito
592 ,U+1F9A0 ,🦠 ,🦠 ,🦠 ,🦠 ,🦠 ,🦠 ,🦠 ,🦠 ,— ,— ,— ,— ,microbe
plant-flower
№ ,Code ,Browser,Appl ,Goog ,FB ,Wind ,Twtr ,Joy ,Sams ,GMail ,SB ,DCM ,KDDI ,CLDR Short Name
593 ,U+1F490 ,💐 ,💐 ,💐 ,💐 ,💐 ,💐 ,💐 ,💐 ,💐 ,💐 ,— ,💐 ,bouquet
594 ,U+1F338 ,🌸 ,🌸 ,🌸 ,🌸 ,🌸 ,🌸 ,🌸 ,🌸 ,🌸 ,🌸 ,🌸 ,🌸 ,cherry blossom
595 ,U+1F4AE ,💮 ,💮 ,💮 ,💮 ,💮 ,💮 ,💮 ,💮 ,💮 ,— ,— ,💮 ,white flower
596 ,U+1F3F5 ,🏵 ,🏵 ,🏵 ,🏵 ,🏵 ,🏵 ,🏵 ,🏵 ,— ,— ,— ,— ,rosette
597 ,U+1F339 ,🌹 ,🌹 ,🌹 ,🌹 ,🌹 ,🌹 ,🌹 ,🌹 ,🌹 ,🌹 ,— ,🌹 ,rose
598 ,U+1F940 ,🥀 ,🥀 ,🥀 ,🥀 ,🥀 ,🥀 ,🥀 ,🥀 ,— ,— ,— ,— ,wilted flower
599 ,U+1F33A ,🌺 ,🌺 ,🌺 ,🌺 ,🌺 ,🌺 ,🌺 ,🌺 ,🌺 ,🌺 ,— ,🌺 ,hibiscus
600 ,U+1F33B ,🌻 ,🌻 ,🌻 ,🌻 ,🌻 ,🌻 ,🌻 ,🌻 ,🌻 ,🌻 ,— ,🌻 ,sunflower
601 ,U+1F33C ,🌼 ,🌼 ,🌼 ,🌼 ,🌼 ,🌼 ,🌼 ,🌼 ,🌼 ,— ,— ,🌼 ,blossom
602 ,U+1F337 ,🌷 ,🌷 ,🌷 ,🌷 ,🌷 ,🌷 ,🌷 ,🌷 ,🌷 ,🌷 ,🌷 ,🌷 ,tulip
plant-other
№ ,Code ,Browser,Appl ,Goog ,FB ,Wind ,Twtr ,Joy ,Sams ,GMail ,SB ,DCM ,KDDI ,CLDR Short Name
603 ,U+1F331 ,🌱 ,🌱 ,🌱 ,🌱 ,🌱 ,🌱 ,🌱 ,🌱 ,🌱 ,— ,🌱 ,🌱 ,seedling
604 ,U+1F332 ,🌲 ,🌲 ,🌲 ,🌲 ,🌲 ,🌲 ,🌲 ,🌲 ,— ,— ,— ,— ,evergreen tree
605 ,U+1F333 ,🌳 ,🌳 ,🌳 ,🌳 ,🌳 ,🌳 ,🌳 ,🌳 ,— ,— ,— ,— ,deciduous tree
606 ,U+1F334 ,🌴 ,🌴 ,🌴 ,🌴 ,🌴 ,🌴 ,🌴 ,🌴 ,🌴 ,🌴 ,— ,🌴 ,palm tree
607 ,U+1F335 ,🌵 ,🌵 ,🌵 ,🌵 ,🌵 ,🌵 ,🌵 ,🌵 ,🌵 ,🌵 ,— ,🌵 ,cactus
608 ,U+1F33E ,🌾 ,🌾 ,🌾 ,🌾 ,🌾 ,🌾 ,🌾 ,🌾 ,🌾 ,🌾 ,— ,— ,sheaf of rice
609 ,U+1F33F ,🌿 ,🌿 ,🌿 ,🌿 ,🌿 ,🌿 ,🌿 ,🌿 ,🌿 ,— ,— ,🌿 ,herb
610 ,U+2618 ,☘ ,☘ ,☘ ,☘ ,☘ ,☘ ,☘ ,☘ ,— ,— ,— ,— ,shamrock
611 ,U+1F340 ,🍀 ,🍀 ,🍀 ,🍀 ,🍀 ,🍀 ,🍀 ,🍀 ,🍀 ,🍀 ,🍀 ,🍀 ,four leaf clover
612 ,U+1F341 ,🍁 ,🍁 ,🍁 ,🍁 ,🍁 ,🍁 ,🍁 ,🍁 ,🍁 ,🍁 ,🍁 ,🍁 ,maple leaf
613 ,U+1F342 ,🍂 ,🍂 ,🍂 ,🍂 ,🍂 ,🍂 ,🍂 ,🍂 ,🍂 ,🍂 ,— ,🍂 ,fallen leaf
614 ,U+1F343 ,🍃 ,🍃 ,🍃 ,🍃 ,🍃 ,🍃 ,🍃 ,🍃 ,🍃 ,🍃 ,— ,— ,leaf fluttering in wind
Food & Drink
food-fruit
№ ,Code ,Browser,Appl ,Goog ,FB ,Wind ,Twtr ,Joy ,Sams ,GMail ,SB ,DCM ,KDDI ,CLDR Short Name
615 ,U+1F347 ,🍇 ,🍇 ,🍇 ,🍇 ,🍇 ,🍇 ,🍇 ,🍇 ,🍇 ,— ,— ,🍇 ,grapes
